track_name,artist(s)_name,,released_year,released_month,,in_spotify_playlists,in_spotify_charts,,,,,,,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Starboy,"The Weeknd, Daft Punk",,2016,9,,29536,79,,,,,,,186,G,Major,68,49,59,16,0,13,28
Die For You - Remix,"Ariana Grande, The Weeknd",,2023,2,,3408,47,,,,,,,67,C#,Minor,53,50,53,23,0,44,7
El Cielo,"Feid, Myke Towers, Sky Rompiendo",,2023,6,,1298,38,,,,,,,106,A#,Minor,72,17,64,7,0,10,5
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",,2023,4,,4277,66,,,,,,,128,G,Major,60,23,91,0,0,12,3
AMARGURA,Karol G,,2023,2,,1133,39,,,,,,,107,F#,Minor,92,55,70,18,0,15,7
(It Goes Like) Nanana - Edit,Peggy Gou,,2023,6,,2259,59,,,,,,,130,G,Minor,67,96,88,12,19,8,4
Another Love,Tom Odell,,2012,10,,18371,83,,,,,,,123,E,Minor,45,13,54,70,0,9,4
Blinding Lights,The Weeknd,,2019,11,,43899,69,,,,,,,171,C#,Major,50,38,80,0,0,9,7
Moonlight,Kali Uchis,,2023,2,,2649,42,,,,,,,137,G,Minor,64,88,72,51,0,17,5
La Bachata,Manuel Turizo,,2022,5,,6804,45,,,,,,,125,G,Minor,84,85,68,58,0,22,4
S91,Karol G,,2023,7,,525,41,,,,,,,128,,Minor,86,42,72,59,0,9,19
cardigan,Taylor Swift,,2020,7,,7923,29,,,,,,,130,,Minor,61,53,58,55,0,27,4
Tï¿½ï¿,"dennis, MC Kevin o Chris",,2023,5,,731,15,,,,,,,130,B,Major,86,59,96,50,1,9,5
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",,2023,2,,5184,41,,,,,,,133,F,Major,70,86,81,25,0,25,5
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",,2022,6,,3107,39,,,,,,,101,D,Major,88,72,59,62,0,9,3
BESO,"Rauw Alejandro, ROSALï¿½",,2023,3,,4053,50,,,,,,,95,F,Minor,77,53,64,74,0,17,14
Hey Mor,"Ozuna, Feid",,2022,10,,4637,38,,,,,,,98,C#,Minor,90,40,59,0,0,10,29
Yellow,Chris Molitor,,1999,1,,31358,43,,,,,,,173,B,Major,43,28,66,0,0,23,3
Karma,Taylor Swift,,2022,10,,3818,23,,,,,,,90,G#,Major,64,10,62,7,0,48,7
People,Libianca,,2022,12,,3506,56,,,,,,,198,A#,Minor,59,71,42,55,0,10,7
Overdrive,Post Malone,,2023,7,,410,36,,,,,,,140,C#,Major,56,48,73,0,0,35,4
Enchanted (Taylor's Version),Taylor Swift,,2023,7,,148,24,,,,,,,82,G#,Major,51,22,53,1,0,15,3
BABY HELLO,"Rauw Alejandro, Bizarrap",,2023,6,,1004,35,,,,,,,130,C#,Minor,77,84,89,17,0,43,5
Heat Waves,Glass Animals,,2020,6,,22543,63,,,,,,,81,B,Major,76,53,53,44,0,9,9
golden hour,JVKE,,2022,7,,4511,36,,,,,,,94,C#,Minor,51,14,59,65,18,25,3
Sweater Weather,The Neighbourhood,,2012,5,,16413,61,,,,,,,124,A#,Major,61,41,81,5,2,10,3
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",,2022,7,,8506,45,,,,,,,128,D,Major,62,55,78,1,3,23,4
Viva La Vida,Coldplay,,2008,1,,33898,62,,,,,,,138,F,Minor,49,42,62,9,0,11,3
Here With Me,d4vd,,2022,7,,3246,23,,,,,,,132,E,Major,58,27,48,50,0,12,3
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",,2022,9,,8576,42,,,,,,,131,D,Major,71,24,47,1,0,27,9
Yandel 150,"Yandel, Feid",,2022,12,,3618,38,,,,,,,168,F#,Minor,78,58,73,5,0,10,7
CORAZï¿½ï¿½N VA,Maria Becerra,,2023,6,,370,20,,,,,,,98,C#,Major,68,40,79,33,0,30,6
Riptide,Vance Joy,,1975,1,,31123,55,,,,,,,102,C#,Major,48,50,73,43,0,15,4
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",,2022,4,,2790,30,,,,,,,101,A#,Major,34,32,57,78,0,20,3
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",,2023,6,,267,9,,,,,,,130,F,Major,63,36,34,76,0,35,9
Back To December (Taylor's Version),Taylor Swift,,2023,7,,139,17,,,,,,,142,D,Major,50,20,64,1,0,12,3
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",,2021,7,,17050,36,,,,,,,170,C#,Major,59,48,76,4,0,10,5
El Merengue,"Marshmello, Manuel Turizo",,2023,3,,2114,44,,,,,,,124,G#,Minor,78,70,68,3,1,11,4
Someone You Loved,Lewis Capaldi,,2018,11,,17836,53,,,,,,,110,C#,Major,50,45,41,75,0,11,3
Me Porto Bonito,"Chencho Corleone, Bad Bunny",,2022,5,,8870,43,,,,,,,92,C#,Minor,91,43,71,9,0,9,8
Makeba,Jain,,2015,6,,6060,53,,,,,,,116,D,Major,82,40,66,39,51,25,7
MONTAGEM - FR PUNK,"Ayparia, unxbected",,2012,6,,641,50,,,,,,,129,A,Major,63,84,82,70,8,9,7
Fast Car,Luke Combs,,2023,3,,1446,12,,,,,,,98,G#,Major,71,67,60,19,0,12,3
What It Is (Solo Version),Doechii,,2023,3,,804,25,,,,,,,172,C#,Minor,74,76,76,6,0,10,9
Coco Chanel,"Bad Bunny, Eladio Carrion",,2023,3,,1962,38,,,,,,,150,D,Major,68,14,76,4,0,10,4
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,,2017,11,,4875,23,,,,,,,136,A,Minor,62,19,53,11,0,6,4
Still With You,Jung Kook,,2020,6,,31,39,,,,,,,88,C#,Minor,53,34,47,9,0,83,4
All My Life (feat. J. Cole),"J. Cole, Lil Durk",,2023,5,,2175,23,,,,,,,143,D#,Major,83,69,44,15,0,10,33
Say Yes To Heaven,Lana Del Rey,,2023,3,,2000,46,,,,,,,100,F#,Minor,49,17,35,71,9,11,3
Snooze,SZA,,2022,12,,2839,25,,,,,,,143,F,Major,56,39,55,14,0,11,13
Summertime Sadness,Lana Del Rey,,2011,1,,20333,52,,,,,,,112,C#,Minor,56,24,66,7,0,12,3
Take Two,BTS,,2023,6,,674,47,,,,,,,93,G,Major,62,57,59,3,0,38,3
Lover,Taylor Swift,,2012,1,,8448,23,,,,,,,206,G,Major,43,50,55,50,0,15,10
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",,2022,12,,2110,58,,,,,,,88,G,Minor,68,17,71,15,0,11,5
Chemical,Post Malone,,2023,4,,2528,39,,,,,,,170,D,Major,50,37,90,0,0,12,5
Mockingbird,Eminem,,2004,1,,12985,61,,,,,,,84,E,Minor,62,24,67,21,0,13,28
New Jeans,NewJeans,,2023,7,,77,35,,,,,,,134,E,Minor,81,53,72,51,0,12,5
Primera Cita,Carin Leon,,2022,4,,266,27,,,,,,,158,A#,Major,54,50,40,61,0,10,6
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",,2017,11,,21097,52,,,,,,,116,C#,Major,80,92,80,4,0,10,3
Dandelions,Ruth B.,,2017,4,,3423,21,,,,,,,117,C#,Major,61,45,69,2,0,9,3
Bones,Imagine Dragons,,2021,3,,4198,44,,,,,,,114,F,Minor,77,65,72,2,0,7,5
Set Fire to the Rain,Adele,,2011,1,,14739,43,,,,,,,108,D,Minor,61,47,68,0,0,13,3
Money Trees,"Kendrick Lamar, Jay Rock",,2012,1,,26792,32,,,,,,,144,E,Minor,74,37,53,7,0,21,10
Tak Segampang Itu,Anggi Marito,,2022,12,,213,6,,,,,,,130,F,Major,51,18,44,76,0,11,3
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",,2023,6,,58,18,,,,,,,116,B,Major,77,79,62,33,1,15,3
Mine (Taylor's Version),Taylor Swift,,2023,7,,99,15,,,,,,,121,G,Major,65,49,78,0,0,17,4
Everybody Wants To Rule The World,Tears For Fears,,1985,2,,41751,25,,,,,,,112,G,Major,64,54,81,36,0,11,6
No Role Modelz,J. Cole,,2014,12,,21164,36,,,,,,,100,A#,Minor,70,47,52,30,0,6,33
Tattoo,Loreen,,2023,2,,2988,59,,,,,,,150,D#,Minor,55,30,78,24,0,12,8
Rara Vez,"Taiu, Milo j",,2023,2,,893,38,,,,,,,120,F,Minor,84,96,71,18,0,34,17
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",,2023,5,,1094,34,,,,,,,127,B,Minor,82,89,85,4,0,23,6
august,Taylor Swift,,2020,7,,7324,22,,,,,,,90,F,Major,51,42,61,53,0,9,3
LUNA,"Junior H, Peso Pluma",,2023,6,,201,11,,,,,,,128,A,Minor,75,79,63,33,0,15,4
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",,2023,3,,5120,48,,,,,,,143,A,Major,64,31,87,4,4,8,4
Nonsense,Sabrina Carpenter,,2022,7,,2346,27,,,,,,,139,G#,Major,74,68,68,3,0,26,4
Que Vuelvas,"Carin Leon, Grupo Frontera",,2022,12,,763,26,,,,,,,162,A#,Major,49,78,64,19,0,11,4
Por las Noches,Peso Pluma,,2021,6,,457,24,,,,,,,92,,Major,81,39,60,31,0,7,3
Feliz Cumpleaï¿½ï¿½os Fe,Feid,,2022,8,,3430,38,,,,,,,95,F,Major,87,57,55,10,0,29,7
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",,2011,8,,6074,52,,,,,,,146,D,Major,63,88,93,3,0,10,8
Watermelon Sugar,Harry Styles,,2019,11,,21915,34,,,,,,,95,,Major,55,56,82,12,0,34,5
lovely - Bonus Track,"Billie Eilish, Khalid",,2017,8,,15032,30,,,,,,,115,E,Minor,35,12,30,93,0,10,3
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",,2023,6,,871,32,,,,,,,128,B,Major,78,59,65,10,0,26,5
Queencard,(G)I-DLE,,2023,5,,451,33,,,,,,,130,E,Minor,82,69,83,3,0,27,5
OMG,NewJeans,,2023,1,,1783,27,,,,,,,127,A,Minor,80,74,77,36,0,11,4
Radio,Lana Del Rey,,2011,1,,9389,46,,,,,,,150,D,Major,42,20,86,21,0,9,9
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",,2023,1,,5724,44,,,,,,,122,D,Minor,78,50,63,27,0,9,5
505,Arctic Monkeys,,2007,4,,13985,25,,,,,,,140,,Major,52,20,85,0,0,7,5
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",,2023,6,,1051,16,,,,,,,140,,Major,63,22,54,46,0,12,8
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",,2022,12,,1682,46,,,,,,,119,C#,Minor,75,48,53,18,0,18,34
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",,2023,5,,182,8,,,,,,,110,G,Minor,76,96,72,32,0,9,4
Perfect,Ed Sheeran,,2017,1,,16596,13,,,,,,,95,G#,Major,60,17,45,16,0,11,2
Romantic Homicide,d4vd,,2022,7,,2335,23,,,,,,,132,F#,Major,56,20,55,45,1,32,3
Believer,Imagine Dragons,,2017,1,,18986,23,,,,,,,125,A#,Minor,77,74,78,4,0,23,11
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",,2023,5,,283,7,,,,,,,124,D#,Minor,84,65,50,67,0,13,6
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",,2023,6,,293,8,,,,,,,133,B,Minor,93,68,65,42,0,12,25
Without Me,Eminem,,2002,1,,21081,43,,,,,,,112,G,Major,92,67,66,0,0,36,9
QUEMA,"Sog, Ryan Castro, Peso Pluma",,2023,7,,437,31,,,,,,,97,,Major,79,92,89,5,0,6,5
Stargirl Interlude,"The Weeknd, Lana Del Rey",,2016,11,,1275,32,,,,,,,90,F,Minor,59,52,48,38,5,10,11
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",,2022,5,,6135,38,,,,,,,80,D#,Minor,65,27,69,8,0,53,4
Somewhere Only We Know,Keane,,2004,1,,20015,16,,,,,,,172,A,Major,45,33,59,6,0,8,3
Those Eyes,New West,,2019,5,,1507,14,,,,,,,120,E,Major,60,24,35,73,0,31,3
El Gordo Trae El Mando,Chino Pacas,,2023,1,,539,21,,,,,,,140,G,Minor,74,96,80,18,0,5,5
Mi Bello Angel,Natanael Cano,,2023,6,,86,8,,,,,,,128,A,Minor,81,90,77,1,0,9,5
Bye,Peso Pluma,,2023,5,,324,14,,,,,,,122,,Major,78,70,81,57,0,10,5
Danza Kuduro,"Don Omar, Lucenzo",,2010,1,,17138,37,,,,,,,130,,Major,47,86,92,8,0,5,24
Nosso Quadro,"Ana Castela, AgroPlay",,2023,2,,894,9,,,,,,,160,A,Major,69,61,71,33,0,31,20
Locked Out Of Heaven,Bruno Mars,,2012,12,,1622,9,,,,,,,144,F,Major,73,87,70,6,0,28,5
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",,2023,4,,561,14,,,,,,,192,B,Major,50,85,52,11,0,28,6
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",,2022,6,,5871,27,,,,,,,163,,Major,54,40,67,0,0,9,17
Counting Stars,OneRepublic,,2013,1,,29215,43,,,,,,,122,C#,Minor,66,48,71,6,0,12,4
Ghost,Justin Bieber,,2021,3,,5866,24,,,,,,,154,D,Major,61,41,74,21,0,40,6
Under The Influence,Chris Brown,,2019,10,,3859,26,,,,,,,117,A,Minor,73,31,69,6,0,11,4
PRC,"Natanael Cano, Peso Pluma",,2023,1,,961,26,,,,,,,138,G,Minor,78,89,83,10,0,12,5
Gasolina,Daddy Yankee,,2004,7,,6457,18,,,,,,,96,,Major,86,74,80,33,0,8,6
One Dance,"Drake, WizKid, Kyla",,2016,4,,43257,24,,,,,,,104,C#,Major,77,36,63,1,0,36,5
Enchanted,Taylor Swift,,2010,1,,4564,16,,,,,,,164,G#,Major,45,24,62,8,0,16,3
Save Your Tears,The Weeknd,,2020,3,,12688,13,,,,,,,118,,Major,68,61,82,2,0,50,3
Sure Thing,Miguel,,2010,5,,13801,19,,,,,,,81,B,Minor,68,51,60,3,0,19,10
Every Breath You Take - Remastered 2003,The Police,,1983,1,,22439,19,,,,,,,117,C#,Major,82,73,45,54,0,7,3
The Night We Met,Lord Huron,,2015,2,,18515,35,,,,,,,174,D,Major,45,10,37,97,25,64,4
We Found Love,"Rihanna, Calvin Harris",,2011,1,,36843,21,,,,,,,128,C#,Major,73,60,77,3,0,11,4
When I Was Your Man,Bruno Mars,,2012,12,,2420,11,,,,,,,145,,Major,60,43,27,94,0,14,4
Let Me Down Slowly,Alec Benjamin,,2018,5,,5897,19,,,,,,,150,C#,Minor,65,51,55,73,0,14,3
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",,2023,6,,727,16,,,,,,,90,A,Minor,60,13,53,4,0,21,4
Do I Wanna Know?,Arctic Monkeys,,2013,1,,33783,26,,,,,,,85,F,Major,55,42,53,17,0,22,3
Demons,Imagine Dragons,,2012,1,,26694,13,,,,,,,180,D#,Major,33,38,71,20,0,28,5
ýýýýýýýýýýýý,YOASOBI,,2023,4,,356,16,,,,,,,166,C#,Major,57,84,94,11,0,37,9
Reminder,The Weeknd,,2016,11,,6518,17,,,,,,,160,G#,Major,71,40,50,16,0,16,22
Shake It Off,Taylor Swift,,2014,1,,21335,13,,,,,,,160,G,Major,65,95,80,5,0,41,16
Why'd You Only Call Me When You're High?,Arctic Monkeys,,2013,1,,23389,29,,,,,,,92,D,Major,70,81,63,4,0,8,4
SNAP,Rosa Linn,,2022,3,,3202,18,,,,,,,170,,Major,56,53,64,11,0,45,6
Shape of You,Ed Sheeran,,2017,1,,32181,10,,,,,,,96,C#,Minor,83,93,65,58,0,9,8
Night Changes,One Direction,,2014,11,,7124,18,,,,,,,120,G#,Major,67,40,52,86,0,12,4
Fin de Semana,"Oscar Maydon, Junior H",,2023,1,,592,14,,,,,,,98,,Major,70,37,54,6,0,9,8
Creep,Radiohead,,1992,9,,36724,7,,,,,,,92,G,Major,53,12,34,1,0,12,4
Car's Outside,James Arthur,,2019,10,,794,10,,,,,,,150,A,Major,34,24,56,4,0,11,3
Apocalypse,Cigarettes After Sex,,2017,3,,13091,17,,,,,,,94,F,Major,37,17,47,2,46,11,3
Cheques,Shubh,,2023,5,,67,8,,,,,,,90,E,Minor,74,36,63,26,0,27,5
Pink + White,Frank Ocean,,2016,8,,21574,30,,,,,,,160,A,Major,54,54,55,67,0,42,11
Circles,Post Malone,,2019,8,,19664,16,,,,,,,120,,Major,70,59,75,24,0,9,4
Just The Way You Are,Bruno Mars,,2010,1,,21106,13,,,,,,,109,F,Major,63,46,85,1,0,9,5
Take Me To Church,Hozier,,2013,9,,23804,31,,,,,,,129,E,Minor,57,41,66,63,0,12,5
Bebe Dame,"Fuerza Regida, Grupo Frontera",,2022,12,,849,22,,,,,,,157,G,Major,54,75,60,30,0,7,5
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,,2021,4,,2619,12,,,,,,,130,F#,Major,63,49,73,5,0,9,3
Titi Me Preguntï¿,Bad Bunny,,2022,5,,9037,42,,,,,,,107,F,Minor,65,19,72,10,0,13,25
Better Than Revenge (Taylor's Version),Taylor Swift,,2023,7,,86,11,,,,,,,146,B,Minor,50,67,89,0,0,19,8
Shut up My Moms Calling,Hotel Ugly,,2020,2,,1788,14,,,,,,,139,A,Minor,48,37,41,32,0,10,10
Have You Ever Seen The Rain?,Creedence Clearwater Revival,,1968,7,,15890,14,,,,,,,116,,Major,74,76,70,7,0,13,3
Es un Secreto,Plan B,,2010,7,,492,36,,,,,,,95,F#,Minor,84,52,77,12,0,7,4
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",,2023,6,,773,33,,,,,,,170,G#,Minor,62,55,80,15,0,37,7
Ditto,NewJeans,,2022,12,,1154,22,,,,,,,134,F#,Minor,81,18,64,3,0,10,11
Take On Me,a-ha,,1984,10,,44927,17,,,,,,,84,F#,Minor,57,86,90,2,0,9,5
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",,2023,6,,551,4,,,,,,,146,B,Minor,61,20,48,21,0,12,6
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",,2023,5,,577,14,,,,,,,74,A#,Minor,53,24,67,11,0,10,28
Acrï¿½ï¿½s,Shakira,,2023,5,,955,29,,,,,,,144,B,Major,75,35,48,84,0,10,12
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",,2022,11,,995,19,,,,,,,136,B,Minor,77,79,73,15,0,27,10
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",,2023,5,,178,6,,,,,,,100,E,Major,56,53,55,53,0,12,4
S-Class,Stray Kids,,2023,6,,290,19,,,,,,,105,F,Minor,89,67,78,9,0,7,33
Hits Different,Taylor Swift,,2023,5,,547,0,,,,,,,106,F,Major,67,24,78,15,0,30,4
Chanel,"Becky G, Peso Pluma",,2023,3,,681,10,,,,,,,132,D,Major,85,53,68,40,0,9,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",,2023,6,,332,5,,,,,,,120,A,Major,78,5,30,21,0,13,5
Area Codes,"Kaliii, Kaliii",,2023,3,,1197,13,,,,,,,155,C#,Major,82,51,39,2,0,9,49
Abcdario,"Junior H, Eden Muï¿½ï",,2023,5,,262,5,,,,,,,129,G#,Major,70,42,43,78,0,11,3
Obsessed,"Abhijay Sharma, Riar Saab",,2022,9,,161,6,,,,,,,135,F,Minor,80,85,74,62,0,8,9
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",,2023,6,,185,3,,,,,,,98,A#,Minor,73,45,62,28,0,13,13
FLOWER,JISOO,,2023,3,,839,18,,,,,,,124,A,Minor,84,64,39,3,0,11,4
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",,2023,6,,259,0,,,,,,,135,A,Minor,77,28,55,18,0,22,15
Eyes Closed,Ed Sheeran,,2023,3,,2915,30,,,,,,,107,D,Major,78,39,53,30,0,11,6
Escapism.,"RAYE, 070 Shake",,2022,10,,5129,25,,,,,,,96,D,Major,54,25,74,14,0,9,11
La Jumpa,"Arcangel, Bad Bunny",,2022,11,,3794,34,,,,,,,123,G#,Major,71,58,70,30,0,32,19
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",,2023,5,,588,0,,,,,,,90,G#,Major,62,7,62,6,0,58,6
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",,2022,12,,2959,16,,,,,,,117,F,Minor,72,45,59,14,0,20,21
Las Morras,"BLESSD, Peso Pluma",,2023,4,,291,8,,,,,,,133,A,Minor,78,90,84,31,0,7,4
CHORRITO PA LAS ANIMAS,Feid,,2022,12,,2321,36,,,,,,,96,G#,Minor,74,61,83,11,0,35,6
